job
"geographer, historian, philosopher, linguist, political scientist"
"it strategy or planning professional, computer consultant, software consultant"
"ict or it manager, systems/data processing manager, telecom manager"
"further education teaching professional, college lecturer/professor"
"higher education teaching professional, university lecturer/professor (including college/university head/vice chancellor)"
"primary /junior school teacher or teaching professional, nursery school teacher (including head teacher)"
"biologist, botanist, entomologist, zoologist, ecologist, microbiologist/pathologist/virologist/geneticist (not medically qualified)"
"other researchers including in broadcasting, journalism, photography, printing and publishing"
"journalist, reporter, newspaper correspondent, sports writer, newspaper or magazine editor"
"software professional, analyst-programmer, computer programmer, software analyst or engineer, systems designer or programmer"
"fitness instructor, aerobics teacher, yoga teacher"
"archivist, curator, conservator, inspector of ancient monuments, museum officer"
"insurance underwriter, insurance inspector, insurance account handler {35333259_3249}"
"sales or marketing manager/director, export/import manager, business development manager, advertising/commercial manager"
"design and development engineer, ergonomist"
"it operations technician, computer operator or technician, database manager, network or web technician, web master, systems administrator or officer"
secondary school teacher or teaching professional (including head teacher)
"architect, landscape architect/designer, structural designer {24313288_3287}"
"librarian, assistant librarian {24513424_3419}"
"author, writer, biographer, book editor, novelist, dramatist, playwright, poet"
"other teaching professional including private tutor, tefl (teaching english as a foreign language) teacher; tutor at adult education centre, etc."
"management consultant, actuary, economist, statistician, statistical controller/assistant, business analyst, demographer, economic forecaster"
"marketing research professional, marketing consultant, promotions or advertising consultant, fundraiser consultant, appeals organiser"
"pharmacist, pharmacologist, pharmaceutical chemist"
"electrician, electrical engineer, electrical contractor"
"physicist, astronomer, geologist, geophysicist, meteorologist, oceanographer, seismologist"
"broadcasting professional, broadcaster, news reporter; radio or television journalist, director or producer"
"photographer and audio-visual equipment operator, cameraman, film technician, sound or light engineer, projectionist {34343161_3156}"
statistician
"graphic designer, commercial artist, desktop publishing artist, illuminator"
special needs teaching professional (including head teacher)
"electrical engineer, generating engineer, power engineer, power transmission engineer {21233041_3037}"
"vocational or industrial trainer/instructor, craft instructor, apprentice instructor {35633214_3210}"
"musician, bandsman, instrumentalist, bellringer; composer, conductor; song writer"
"electrical engineer, generating engineer, power engineer, power transmission engineer {21232866_2860}"
"actor, chorister or singer"
"archivist, curator, conservator, inspector of ancient monuments, museum officer, public records officer"
"principal of dancing/drama/evening school, private music teacher"
"researcher in broadcasting, journalism, photography, printing and publishing"
"architect, landscape architect/designer, structural designer {24312597_2590}"
"chemical engineer, plastics engineer, pharmaceutical engineer"
"social science researcher, anthropologist, sociologist, archaeologist, behavioural scientist, epidemiologist, government survey officer"
"quantity surveyor, quantity survey technician {24332598_2590}"
"arts officer, producer, director; entertainment/artists'/theatrical agent; studio manager, prompter"
"town planner, development officer"
"biochemist, medical laboratory scientific officer"
"librarian, assistant librarian {24513314_3313}"
quality control engineer
"scenery designer, costume designer"
vocational or industrial trainer/instructor {35633247_3235}
"make-up artist, beautician, manicurist, nail technician"
"painter, calligrapher, portrait engraver, art restorer"
"fashion designer, clothing and footwear designer, hat designer"
"architectural technologist/technician/assistant, town planning technician, planning enforcement officer"
vocational or industrial trainer/instructor {35633218_3210}
"natural environment and conservation manager, country park manager, national park manager"
"chemist (analytic, developmental, industrial, research)"
"vocational or industrial trainer/instructor, craft instructor, apprentice instructor {35632698_2691}"
vocational or industrial trainer/instructor {35633208_3199}
vocational or industrial trainer/instructor {35633285_3276}
"quantity surveyor, quantity survey technician {24333290_3287}"
"farmer, farming contractor, herd manager, smallholder, bailiff"
"bouncer, or other jobs in entertainment places, including casino/night club porter, etc."
"rehabilitation unit manager, children's home manager"
"beautician, make-up artist, manicurist, nail technician"
"planning and quality control engineer, industrial engineer, quality engineer"
"sales or marketing representative, manufacturer's agent or representative or salesman/woman"
"insurance underwriter, insurance inspector, insurance account handler {35333266_3263}"
"glass blower, glass cutter, glass maker"
interior designer
"school librarian, assistant school librarian"
vocational or industrial trainer/instructor {35633274_3263}
commercial/industrial designer
"draughtsperson, cartographer, designer-detailer/draughtsperson, drawing office checker, engineering draughtsperson"
"compositor, originator, lithographic plate maker, paste-up artist, stereotyper, typesetter"
"textile, cloth or soft furnishings designer"
vocational or industrial trainer/instructor {35633233_3220}
"speechwriter, translator"
"dancer, ballet dancer, dance instructor, choreographer"
planning and quality control engineer
"librarian, assistant librarian {24513035_3032}"
holiday camp worker/entertainer/redcoat
"conservation or environmental protection officer, national park officer, marine/coastal conservationist, flood officer"
"photographer and audio-visual equipment operator, cameraman, film technician, sound or light engineer, projectionist {34343186_3180}"
chemical engineer
electrical engineer
"vocational trainer/instructor, craft instructor, apprentice instructor"
"forester, forestry contractor, lumberjack"
"entertainer, comedian, acrobat, clown, juggler, performing animal trainer, puppeteer"
vocational or industrial trainer/instructor {35633261_3249}
"archivist, conservator, curator"
"potter, ceramic caster, ceramic artist, ceramic lithographer"
archivist
design and development engineer
factory cleaner/industrial cleaner in the production of chemicals or petrochemicals
